koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_depth,koi_duration,koi_model_snr,koi_prad,koi_teq,koi_insol,koi_impact,koi_sma,koi_steff,total_fp_flags,planet_density_proxy,habitable_zone_proxy,transit_intensity,koi_disposition
0.0,1.0,0.0,0.0,1.433769925,1976.3,1.8868,112.6,46.58,1920.0,3209.29,1.268,0.0256,6017.0,1.0,0.024247787610619468,0.026124091866309745,3728.8828399999998,FALSE POSITIVE
0.0,1.0,1.0,0.0,10.31872301,871.7,3.836,38.2,28.59,876.0,139.26,1.215,0.0944,5927.0,2.0,0.032599771949828965,0.09560942122039541,3343.8412,FALSE POSITIVE
0.0,0.0,0.0,0.0,2.539183147,382.1,2.4282,38.9,2.06,1332.0,743.09,0.238,0.0355,5519.0,0.0,0.0015453863465866467,0.03469523083827842,927.8152200000001,CONFIRMED
0.0,0.0,0.0,0.0,6.770300385,1304.0,2.0844,50.8,2.77,812.0,102.87,0.838,0.064,5653.0,0.0,0.0034071340713407133,0.0633039337129815,2718.0576,CONFIRMED
0.0,1.0,1.0,1.0,0.5276763491099999,10967.0,2.0792,299.7,27.51,1836.0,2706.26,1.258,0.0119,5255.0,3.0,0.014975503538377791,0.011348659159930732,22802.5864,FALSE POSITIVE
0.0,0.0,0.0,0.0,10.181584004,5741.1,3.5089,183.6,7.73,812.0,102.91,0.92,0.0884,5988.0,0.0,0.0095079950799508,0.0899921011879384,20144.94579,CANDIDATE
0.0,0.0,0.0,0.0,20.06036336,1494.7,3.3203,35.2,1.96,361.0,4.0,0.556,0.115,3950.0,0.0,0.0054143646408839775,0.0950840385427573,4962.85241,CONFIRMED
0.0,0.0,0.0,0.0,46.1842039,1394.7,4.758,26.0,1.83,273.0,1.32,0.013,0.2005,3950.0,0.0,0.006678832116788321,0.1657769541549812,6635.9826,CONFIRMED
0.0,0.0,0.0,0.0,23.9800854,104.0,5.351,17.1,1.31,649.0,41.94,0.95,0.1602,5854.0,0.0,0.0020153846153846155,0.1612501406215427,556.504,CONFIRMED
0.0,0.0,0.0,0.0,7.82502168,520.8,2.186,15.9,1.2,494.0,14.05,0.708,0.0614,3950.0,0.0,0.0024242424242424242,0.05076660840456781,1138.4687999999999,CONFIRMED
0.0,0.0,0.0,0.0,3.895936525,8544.8,2.3111,370.8,7.34,1005.0,241.62,0.524,0.046,5557.0,0.0,0.0072962226640159045,0.04511170704863443,19747.88728,CONFIRMED
0.0,0.0,0.0,0.0,22.36646466,986.8,5.228,32.1,2.32,536.0,19.45,0.4,0.1449,5395.0,0.0,0.004320297951582868,0.14001525033760717,5158.9904,CONFIRMED
0.0,0.0,0.0,0.0,1.625522174,7969.0,2.38963,799.7,9.73,1579.0,1467.41,0.076,0.0265,5539.0,0.0,0.006158227848101266,0.025946141830222175,19042.96147,CONFIRMED
0.0,0.0,0.0,0.0,19.620346923,21725.0,2.0038,340.5,13.6,643.0,40.39,0.458,0.1389,5710.0,0.0,0.02111801242236025,0.13808023932558866,43532.555,CANDIDATE
1.0,0.0,1.0,0.0,7.544039,322.6,6.222,14.2,17.47,838.0,116.46,1.175,0.0731,5657.0,2.0,0.020822407628128724,0.07233053835802924,2007.2172000000003,FALSE POSITIVE
0.0,0.0,0.0,0.0,9.02930689,1019.8,3.1449,53.9,2.57,757.0,77.75,0.024,0.0796,5349.0,0.0,0.0033905013192612136,0.07658797695405493,3207.16902,CONFIRMED
0.0,1.0,0.0,0.0,10.328035714,16918.0,7.7915,636.8,13.28,843.0,119.31,0.281,0.0888,5627.0,1.0,0.015734597156398102,0.08763198608056122,131816.597,FALSE POSITIVE
0.0,0.0,0.0,0.0,143.2063047,10566.0,8.9302,138.8,8.9,308.0,2.14,0.379,0.5336,5485.0,0.0,0.028802588996763755,0.5198946736795044,94356.4932,CONFIRMED
0.0,0.0,0.0,0.0,6.164876,55.8,3.262,14.4,0.79,1021.0,256.35,0.646,0.0648,5854.0,0.0,0.0007729941291585127,0.0652247759817476,182.0196,CONFIRMED
0.0,0.0,0.0,0.0,60.32494216,20280.0,6.6188,347.2,12.19,411.0,6.77,0.224,0.2998,5485.0,0.0,0.029587378640776697,0.2920997435703063,134229.264,CONFIRMED
0.0,0.0,0.0,0.0,29.1598615,488.0,4.803,11.6,1.91,524.0,17.85,0.3619,0.1847,5485.0,0.0,0.003638095238095238,0.1799560461555556,2343.864,CONFIRMED
