orbital_period_days,transit_duration_hours,transit_depth_ppm,planet_radius_earth,equilibrium_temperature_K,insolation_flux_Earth,stellar_radius_solar,stellar_temperature_K,final_disposition,source_mission
7.91936937,3.3148,15148.0,10.34,814.0,104.0,0.776,5690.0,FALSE_POSITIVE,KEPLER
1.028436523,1.8606,8098.0,72.77,1947.0,3400.48,0.99,6228.0,CANDIDATE,KEPLER
15.37562369,3.3169,15337.0,11.01,600.0,30.54,0.833,4986.0,CONFIRMED,KEPLER
8.10363271,3.161,887.9,2.11,687.0,52.82,0.732,4861.0,CONFIRMED,KEPLER
4.71510843,2.506,417.5,1.46,823.0,108.84,0.732,4861.0,CONFIRMED,KEPLER
6.365839713,2.9721,780.7,2.44,914.0,165.33,0.849,5776.0,CONFIRMED,KEPLER
5.97581754,3.065,962.4,3.86,1047.0,284.25,0.997,6108.0,FALSE_POSITIVE,KEPLER
2.446737317,4.7211,1177.9,26.25,1261.0,597.19,0.863,5764.0,FALSE_POSITIVE,KEPLER
3.04033046,1.8411,10859.0,8.99,1021.0,257.29,0.791,5035.0,CONFIRMED,KEPLER
15.33528675,3.897,3081.4,5.0,610.0,32.67,0.817,5251.0,CONFIRMED,KEPLER
7.95825328,4.377,50.0,1.06,1074.0,314.15,1.402,5847.0,CONFIRMED,KEPLER
31.33046135,5.176,5073.8,6.5,481.0,12.61,0.817,5251.0,CONFIRMED,KEPLER
3.9043425,3.831,16228.0,12.28,1104.0,351.05,0.898,5810.0,FALSE_POSITIVE,KEPLER
9.286358079,3.49949,44791.0,17.61,796.0,95.03,0.821,5670.0,FALSE_POSITIVE,KEPLER
3.951405455,2.1862,2453.9,31.44,1133.0,388.71,0.869,6046.0,FALSE_POSITIVE,KEPLER
23.65369415,8.2183,3341.8,7.89,731.0,67.65,1.384,5739.0,CONFIRMED,KEPLER
13.23352214,6.7372,504.6,3.06,888.0,146.67,1.384,5739.0,CONFIRMED,KEPLER
6.15560285,4.9843,285.0,2.32,1146.0,406.94,1.384,5739.0,CONFIRMED,KEPLER
2.090811305,3.388,115.9,1.62,1642.0,1718.04,1.384,5739.0,CONFIRMED,KEPLER
3.180027898,3.5797,120.3,1.53,1458.0,1066.86,1.402,5847.0,CONFIRMED,KEPLER
50.4467417,7.159,370.3,2.67,568.0,24.64,1.384,5739.0,CONFIRMED,KEPLER
